Scenario,n,Ambient Oracle / Intrinsic,MEB 1 Mean,MEB 1 Lower,MEB 1 Upper,Draft Mean,Draft Lower,Draft Upper,MEB 2 Mean,MEB 2 Lower,MEB 2 Upper
1. Isotropic,10000,1.0,1.2180941094074855,1.2048915937348443,1.229257817358578,1.1648163930864341,1.1539365928425092,1.1744731004560554,1.033749419106439,1.0233239972787795,1.0473785202459993
1. Isotropic,30000,1.0,1.130576148252318,1.1250432580108682,1.1361102795086606,1.071624779877976,1.0664370236767022,1.0768953317112036,1.0238828390965526,1.012826452801132,1.0424248581780797
1. Isotropic,100000,1.0,1.0748448166750677,1.070629259310448,1.0790343057126377,1.031600401205154,1.027705138365877,1.0351290337413173,1.0181418150983672,1.007260440250795,1.0363719366235704
1. Isotropic,300000,1.0,1.0447075770440213,1.0431857554099904,1.0470439535029412,1.0163984036004432,1.0150496004564766,1.0184330315942454,1.016262903931929,1.0037584388143257,1.038621238028107
1. Isotropic,1000000,1.0,1.0254506304336914,1.0242381269390317,1.026549834990013,1.0087290518095133,1.0076148912134717,1.0097085506814163,1.0140153961360214,1.0034337338134747,1.0315824167234728
2. Anisotropic,10000,1.141666622406039,1.3829624605382538,1.3654225706796381,1.3995480452883875,1.1873311114418552,1.174158018789278,1.1999555255710799,1.1752194496197859,1.159825545723188,1.2029142513628912
2. Anisotropic,30000,1.140640942642011,1.2856847787417802,1.2779483420901856,1.294746296927894,1.0765630537216744,1.0701953655488978,1.084010928371748,1.1631509549753332,1.1513676911117596,1.185090251534545
2. Anisotropic,100000,1.1400004931754288,1.222935074627504,1.2179886663217532,1.2295584167802243,1.0296983379953943,1.0254128443993127,1.0354119163957245,1.155801921224492,1.1454027176438826,1.1781676770677818
2. Anisotropic,300000,1.1396706603214033,1.1895179683786814,1.1867278410881512,1.1920505370679453,1.0137765371723575,1.011320144520069,1.0159865245087325,1.1527977761389732,1.1431682821096862,1.1791262195565504
2. Anisotropic,1000000,1.1394661922644949,1.1673845081070877,1.1657642044532948,1.1691624661965454,1.0061899966156176,1.0047667835077414,1.007748926418689,1.1490462581986116,1.1417024986729283,1.1740462881304952
3. Polynomial Decay,10000,1.1304889640553488,1.3681740941758895,1.3477391275117367,1.3842012918679256,1.1823436530390754,1.1667381433179502,1.1943638860388281,1.1614197661285655,1.150737495151087,1.1829752469687287
3. Polynomial Decay,30000,1.1295444336443983,1.2728119615764195,1.2624908353056967,1.2824470745951635,1.0744167014809012,1.065820223942409,1.0823264431798978,1.1499772776114907,1.138514883403484,1.169669230968517
3. Polynomial Decay,100000,1.128954594705188,1.2109684311408164,1.2052998967365232,1.2189692043523932,1.0288344395601212,1.0240070560641286,1.0356261753144722,1.144041621489022,1.134681803610963,1.1606243974957529
3. Polynomial Decay,300000,1.1286508082894535,1.1776167799764132,1.1748792682109857,1.1805320032054603,1.0130795562211836,1.0107116809486012,1.0156178349854545,1.1381131644745612,1.131565455271538,1.1540458921009111
3. Polynomial Decay,1000000,1.1284624806119656,1.1563292098498363,1.1548868321228536,1.1581943938090002,1.0062371598445738,1.004977959504181,1.0078524161851907,1.137571979580587,1.1302622150295052,1.157538909083707
