Distribution,n,Draft Mean,Draft Lower,Draft Upper
"Gaussian $\mathcal{N}(0, 1)$",100,2.153623733232105,2.148952977952528,2.161060101999248
"Gaussian $\mathcal{N}(0, 1)$",300,1.685623985287625,1.6804155877029445,1.6908885545699182
"Gaussian $\mathcal{N}(0, 1)$",1000,1.371220980299318,1.3649138989154852,1.3753849114828567
"Gaussian $\mathcal{N}(0, 1)$",3000,1.2106235585805074,1.2076282339252162,1.2127857769030765
"Gaussian $\mathcal{N}(0, 1)$",10000,1.1177900287762657,1.1161657607241235,1.1202892718444841
"Gaussian $\mathcal{N}(0, 1)$",30000,1.071179093119054,1.0691828874335458,1.0730289925353
"Uniform $[-1, 1]$",100,1.9628631633025222,1.9523352689499784,1.9788278132822812
"Uniform $[-1, 1]$",300,1.5165417235801326,1.5099237593479897,1.5243150913939705
"Uniform $[-1, 1]$",1000,1.2428578077741517,1.2364843807805308,1.2482558986608918
"Uniform $[-1, 1]$",3000,1.1210828277641225,1.1174285367486658,1.1253417360608469
"Uniform $[-1, 1]$",10000,1.0594388141658673,1.0579914386909808,1.0619581808366467
"Uniform $[-1, 1]$",30000,1.0339267184240462,1.0325155630219554,1.035264389025113
Exponential $\text{Exp}(1)$,100,2.047977616568133,2.0427651012147647,2.0537946544305146
Exponential $\text{Exp}(1)$,300,1.5990411369685822,1.5886682906811067,1.6092920261518324
Exponential $\text{Exp}(1)$,1000,1.3103562097239174,1.3030591642446678,1.3193470690779734
Exponential $\text{Exp}(1)$,3000,1.1711307331075815,1.1650410416624324,1.1761848818584828
Exponential $\text{Exp}(1)$,10000,1.0930039957317326,1.089673992238837,1.0954647380541929
Exponential $\text{Exp}(1)$,30000,1.0546592370207224,1.0525660283308413,1.0566124476269882
