Kernel,n,Draft Mean,Draft Lower,Draft Upper
RBF Kernel,100,2.3259757993542785,2.3205883142248354,2.334569150970303
RBF Kernel,300,1.7508562826266758,1.7451541262101777,1.7566541701917162
RBF Kernel,1000,1.3919899644477085,1.3853233040099664,1.3963713654844139
RBF Kernel,3000,1.2177055923271733,1.2146010107724143,1.2199397878387022
RBF Kernel,10000,1.1200168057093296,1.1183578921957211,1.1225647824431924
RBF Kernel,30000,1.071967282557598,1.069948442620584,1.0738371678493452
Laplace Kernel,100,2.151729655033903,2.1464667155287995,2.1563569774800624
Laplace Kernel,300,1.5809483132601436,1.5724263804940997,1.5905824545613279
Laplace Kernel,1000,1.256799855864784,1.2521987795927072,1.2619309791688658
Laplace Kernel,3000,1.118740261255744,1.1149367353325348,1.1218815514131684
Laplace Kernel,10000,1.0542656852728394,1.052669836736761,1.0558666990250294
Laplace Kernel,30000,1.0287038273727755,1.0277816045024328,1.0297822953108864
IMQ Kernel,100,2.2478928203229978,2.245545109768203,2.250339547970565
IMQ Kernel,300,1.6962562379432282,1.6949889094840123,1.6978735371067666
IMQ Kernel,1000,1.3556781911423135,1.3538568057877867,1.3581031899888947
IMQ Kernel,3000,1.195428319024676,1.1939298259283622,1.196494620198092
IMQ Kernel,10000,1.105875724420311,1.105059569252812,1.1064902465306783
IMQ Kernel,30000,1.062030378721415,1.0614471839395558,1.0625137371563507
