experiment,rank,method,n,trials,reported_mean_ratio
noncommuting,3,oeb,20000,40,1.048
noncommuting,3,meb1,20000,40,1.665
noncommuting,3,meb2,20000,40,1.538
noncommuting,5,oeb,20000,40,1.075
noncommuting,5,meb1,20000,40,1.617
noncommuting,5,meb2,20000,40,1.468
noncommuting,10,oeb,20000,40,1.149
noncommuting,10,meb1,20000,40,1.588
noncommuting,10,meb2,20000,40,1.394
noncommuting,20,oeb,20000,40,1.281
noncommuting,20,meb1,20000,40,1.597
noncommuting,20,meb2,20000,40,1.339
rkhs,32,oeb,10000,100,1.198
rkhs,32,meb1,10000,100,1.330
rkhs,32,meb2,10000,100,1.127
rkhs,64,oeb,10000,100,1.205
rkhs,64,meb1,10000,100,1.398
rkhs,64,meb2,10000,100,1.179
rkhs,128,oeb,10000,100,1.205
rkhs,128,meb1,10000,100,1.465
rkhs,128,meb2,10000,100,1.232
rkhs,256,oeb,10000,100,1.205
rkhs,256,meb1,10000,100,1.530
rkhs,256,meb2,10000,100,1.283
