experiment,rank,method,reported_mean_ratio,computed_mean_ratio,difference,same_n_and_trial_count,matches_reported_3_decimals
noncommuting,3,oeb,1.048,1.047484679327649,-0.0005153206723509385,1,0
noncommuting,3,meb1,1.665,1.664550478133485,-0.0004495218665150347,1,1
noncommuting,3,meb2,1.538,1.5369210302309888,-0.0010789697690112288,1,0
noncommuting,5,oeb,1.075,1.0757391316839127,0.0007391316839127082,1,0
noncommuting,5,meb1,1.617,1.6172801595648694,0.00028015956486937554,1,1
noncommuting,5,meb2,1.468,1.4665238855661513,-0.001476114433848652,1,0
noncommuting,10,oeb,1.149,1.1492505683887486,0.00025056838874859544,1,1
noncommuting,10,meb1,1.588,1.5879954440974586,-4.555902541447665e-06,1,1
noncommuting,10,meb2,1.394,1.3923108280783947,-0.0016891719216052259,1,0
noncommuting,20,oeb,1.281,1.2807402934624985,-0.00025970653750140293,1,1
noncommuting,20,meb1,1.597,1.5966241762111328,-0.00037582378886713563,1,1
noncommuting,20,meb2,1.339,1.339302714897648,0.0003027148976479932,1,1
rkhs,32,oeb,1.198,1.1982524030617894,0.00025240306178941907,1,1
rkhs,32,meb1,1.33,1.3298176717694448,-0.00018232823055530645,1,1
rkhs,32,meb2,1.127,1.1265947823944666,-0.00040521760553335895,1,1
rkhs,64,oeb,1.205,1.2046423442130887,-0.00035765578691138167,1,1
rkhs,64,meb1,1.398,1.398579719574184,0.0005797195741841232,1,0
rkhs,64,meb2,1.179,1.1790746707699498,7.4670769949714e-05,1,1
rkhs,128,oeb,1.205,1.2048685990498271,-0.00013140095017294406,1,1
rkhs,128,meb1,1.465,1.4652708132535943,0.0002708132535942376,1,1
rkhs,128,meb2,1.232,1.2322016792107726,0.00020167921077263173,1,1
rkhs,256,oeb,1.205,1.2048688660840998,-0.00013113391590025003,1,1
rkhs,256,meb1,1.53,1.5299121647834082,-8.783521659183613e-05,1,1
rkhs,256,meb2,1.283,1.2835741426894156,0.0005741426894156909,1,0
