experiment,rank,dimension,n,trial,master_seed,sample_sha256,delta,c,B,variance_exact,trace_exact,effective_rank_exact,intrinsic_oracle,ambient_oracle,ambient_ratio,sample_mean_error,meb2_weighted_mean_error,oeb_radius,oeb_general_selfadjoint_radius,variance_hat,tau_upper,tau_prime_upper,sigma_squared_upper,empirical_trace_variance_ratio,meb1_radius,meb2_radius,oeb_ratio,oeb_covered,meb1_ratio,meb1_covered,meb2_ratio,meb2_covered,commutator_nonzero_count,commutator_pair_count,commutator_frequency,commutator_probability_exact
noncommuting,3,1000,20000,0,20260919,a02d8553ced8a02e3944c97f0c5eec4fcd04ea9f30658e3adc1ae54009687d2a,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.004685626882047127,0.004527726495791151,0.01090426145866304,0.010982798661673957,0.2251766826085054,0.6919588233623394,0.17841288417627332,0.24870656021691434,2.782229880702921,0.017340338030452988,0.015993809577817018,1.0490635023895951,1,1.6682574804178345,1,1.5387123608382522,1,14985,19999,0.7492874643732187,0.75
noncommuting,3,1000,20000,1,20260919,14832f1e74d0aa561118a8ff1e4d9e31ecb1ca9ea4cc5cf02814bc299a49d1a3,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0036376339801573775,0.003725794102424738,0.010819951024892265,0.010898602023486305,0.2209410703399962,0.6848831188214135,0.1786883229131404,0.24448836911884436,2.801291207797684,0.017194367109748445,0.015965722370197343,1.04095226998061,1,1.6542140932611846,1,1.5360101820149052,1,14864,19999,0.7432371618580929,0.75
noncommuting,3,1000,20000,2,20260919,d8517fa699f4df5cb4d29f818105e81f328050159b724197a77ac69b59f0e6f1,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.003693847703375285,0.0037789591488623362,0.010892928736839459,0.010971531586802169,0.22416645637813243,0.6926486297712183,0.1828576037357137,0.24797583557308275,2.7932101858653997,0.01730564838455608,0.01598006322077181,1.047973218110103,1,1.6649201024982734,1,1.537389868570288,1,14971,19999,0.7485874293714686,0.75
noncommuting,3,1000,20000,3,20260919,240ce84d23346a0130d137b7e10d5a7c2bea96c6c9628e7cc6c68a90bc1cbe15,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0036458167151682853,0.003918864798403743,0.010855112223673231,0.010933771096606698,0.2225033931205674,0.6896300575573098,0.1789406379482535,0.24606663874376752,2.8026150195656174,0.01724837060006115,0.015993506445059914,1.0443350144682775,1,1.659409593286883,1,1.5386831974223656,1,14960,19999,0.7480374018700935,0.75
noncommuting,3,1000,20000,4,20260919,7456bc9b8781ff48a82bf7e9023dca517be412190c2f192921efacfab0b18a45,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0037281243374387633,0.003907202186738921,0.010883839431233043,0.010962462124193599,0.22389297020950133,0.6921312834945287,0.17956741581197716,0.2474957809352751,2.7965377061338037,0.017296243843928243,0.015983207076845696,1.0470987656027135,1,1.6640153222555392,1,1.5376923287301423,1,15000,19999,0.7500375018750938,0.75
noncommuting,3,1000,20000,5,20260919,463154559c7eaf6a4ae64a7699e8417857b2e0ff9c9a2d79c310b86a41fe90b8,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0052790854380426544,0.005275163232913497,0.010852995914965217,0.010931620583177676,0.22239755826766813,0.6882495642425852,0.1808094829139517,0.24607857050911583,2.7968691577598768,0.01724471829491375,0.015975485836735293,1.0441314112959046,1,1.6590582168966295,1,1.5369494933511745,1,14842,19999,0.7421371068553427,0.75
noncommuting,3,1000,20000,6,20260919,85137bffce79f4ab639ed347a3adc481126bc4b7a28ae95165d22482df1acb04,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0053641465989322165,0.005375722182975479,0.010927770697401583,0.01100637913317969,0.2260096059269264,0.697302423953169,0.1787102646778534,0.24955829191853923,2.7941464841440022,0.01736888087605028,0.015981320943833203,1.0513252497278318,1,1.671003494687941,1,1.5375108700122309,1,14938,19999,0.7469373468673434,0.75
noncommuting,3,1000,20000,7,20260919,3b81ef90dec2580e8c7b19d94f1797ac0731b7264a4d27a8fc71f5d8eeb25a1a,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0023626800616224227,0.002438684793931726,0.010919683968965484,0.010998261007047257,0.22565807251561987,0.695234589556756,0.17998831297956092,0.24928741346495267,2.7888876533852724,0.01735684085783888,0.015957161680681904,1.0505472519066856,1,1.6698451637251732,1,1.5351865859410234,1,14995,19999,0.7497874893744687,0.75
noncommuting,3,1000,20000,8,20260919,f61d27c66a3a06cbb6f854df4739136a34b588e4342cb743067ebbbf2c791bdc,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0027908832815401385,0.0028106565391251333,0.01092345642029275,0.011002160261435641,0.2253892509039783,0.6998860366858046,0.18053802366674154,0.24905319485286542,2.8101869445974397,0.01734762738937335,0.015963538121247782,1.0509101871698376,1,1.6689587659132492,1,1.5358000425330334,1,15047,19999,0.7523876193809691,0.75
noncommuting,3,1000,20000,9,20260919,2b61e9fa24897367eb9a1178845a493d121350b59b12b2294b3a0e6bbb8fa207,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.00561266254545115,0.005364017673836352,0.01087233930871015,0.010950972802368977,0.22342112001650138,0.6910101912413791,0.17815728367258749,0.24693481916530563,2.7983505670733133,0.017280004521033815,0.016003039452173844,1.0459923762468173,1,1.6624529898576372,1,1.539600337007578,1,14923,19999,0.7461873093654683,0.75
noncommuting,3,1000,20000,10,20260919,42fedddca8bc3f6a6baf058616d9873bb88dee4b56f0e32da8a4c23975000cc1,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0035441029559886315,0.003663539459668107,0.010914442909032634,0.010993142839353832,0.22494536518214447,0.6985943951299399,0.1812158723364245,0.24865190566559378,2.8095276135525116,0.0173324018189749,0.01597768158235853,1.0500430265898009,1,1.6674939633432972,1,1.5371607388905997,1,15140,19999,0.7570378518925946,0.75
noncommuting,3,1000,20000,11,20260919,88b0b214513051ec4b660c457178eeaa672ea5c7b67977a939ecd912d4181846,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0034759903995033167,0.003356460368138868,0.010853387491425415,0.010932039876555348,0.2223934481406905,0.6891986919234706,0.1797610499145476,0.24600846797598938,2.801524262940156,0.01724457643906405,0.015963199995809488,1.0441690835925883,1,1.6590445694070601,1,1.535767512585188,1,14831,19999,0.7415870793539677,0.75
noncommuting,3,1000,20000,12,20260919,84f9d6e978d286645ddee8a7a483218e3b8d60b0a0fb5e45081c43001a3256aa,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.005759463314411668,0.00549436627842815,0.010906628925743013,0.010985214976120814,0.22503352408881444,0.6938555714678979,0.1799182228895384,0.24865844923513372,2.790396118057431,0.01733542692177034,0.015994022732693333,1.0492912686914326,1,1.6677849986367654,1,1.5387328677750995,1,14971,19999,0.7485874293714686,0.75
noncommuting,3,1000,20000,13,20260919,fcc68a1d2b832c614bc0ab9a917288477751c965a79dffd042e56bae6a5c4ba1,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0046372235569329436,0.004877222677459578,0.010913369964081973,0.01099199804639198,0.22522684343770163,0.6960962886035043,0.17962255420485762,0.24883313144571823,2.797442143492674,0.017342058447851402,0.016002666828206887,1.0499398020484527,1,1.6684229961759072,1,1.53956448806858,1,15032,19999,0.7516375818790939,0.75
noncommuting,3,1000,20000,14,20260919,a77dc6c4e62559a525161348935ab76185d448d215329e3c3050c3e57dd9f0b6,0.05,1.0,1.0,0.22222222222222224,0.6666666666666667,3.0,0.010394281598611443,0.015521993332227367,1.4933204555763553,0.0019255726236324267,0.0020463116202221825,0.010852184598929865,0.010930807139834702,0.22252820152233665,0.6880769774028045,0.17825783548403762,0.24604826657070372,2.796512192477002,0.017249226599290308,0.015959332767788673,1.0440533572209159,1,1.6594919461865076,1,1.5353954591648409,1,14888,19999,0.7444372218610931,0.75
